"Key","Swedish","English UK","English US","Context","Status","Translator","Last Modified","Notes"
"nav.admin_dashboard","Admin Dashboard","Admin Dashboard","Admin Dashboard","","approved","","",""
"nav.admin_dashboard_desc","Översikt och statistik","Overview and statistics","Overview and statistics","","approved","","",""
"nav.admin_customers","Kunder","Customers","Customers","","approved","","",""
"nav.admin_customers_desc","Hantera användare","Manage users","Manage users","","approved","","",""
"nav.admin_orders","Ordrar","Orders","Orders","","approved","","",""
"nav.admin_orders_desc","Hantera beställningar","Manage orders","Manage orders","","approved","","",""
"nav.admin_products","Produkter","Products","Products","","approved","","",""
"nav.admin_products_desc","Hantera produkter","Manage products","Manage products","","approved","","",""
"nav.admin_marketing","Marknadsföring","Marketing","Marketing","","approved","","",""
"nav.admin_marketing_desc","Hantera marknadsföringsmaterial","Manage marketing materials","Manage marketing materials","","approved","","",""
"nav.admin_translations","Översättningar","Translations","Translations","","approved","","",""
"nav.admin_translations_desc","Hantera språk och översättningar","Manage languages and translations","Manage languages and translations","","approved","","",""
"nav.admin_affiliates","Affiliates","Affiliates","Affiliates","","approved","","",""
"nav.admin_affiliates_desc","Hantera affiliate-partners","Manage affiliate partners","Manage affiliate partners","","approved","","",""
"nav.admin_settings","Inställningar","Settings","Settings","","approved","","",""
"nav.admin_settings_desc","Systeminställningar","System settings","System settings","","approved","","",""
"nav.ai_wagons","AI Vagnar","AI Wagons","AI Wagons","","approved","","",""
"nav.back_to_dashboard","Tillbaka till Dashboard","Back to Dashboard","Back to Dashboard","","approved","","",""
"training.variant_fluorescent_desc","När du skall natt fiska och vill attrahera fiskar i grumliga eller mörka vatten","When you're night fishing and want to attract fish in murky or dark waters","When you're night fishing and want to attract fish in murky or dark waters","","approved","","",""
"training.variant_glitter_desc","När man skall fiska i stark solljus hjälper dess gnistrande färg till med att attrahera mer fisk","When fishing in strong sunlight, its sparkling colour helps attract more fish","When fishing in strong sunlight, its sparkling color helps attract more fish","","approved","","",""
"training.variant_red_desc","Utnyttja den traditionella röda färgen på många betesfiskar för att attrahera mer fisk","Utilise the traditional red colour of many baitfish to attract more fish","Utilize the traditional red color of many baitfish to attract more fish","","approved","","",""
"training.variant_transparent_desc","När man inte vill kompromissa med fiskedragets naturliga färger och utseende","When you don't want to compromise the natural colours and appearance of the fishing lure","When you don't want to compromise the natural colors and appearance of the fishing lure","","approved","","",""
"training.key_actions_title","För att sälja B8Shield är det avgörande att ni","To sell B8Shield it is crucial that you","To sell B8Shield it is crucial that you","","approved","","",""
"training.action_1","Ger butiksstället en synlig och central plats i butiken, gärna nära kassan.","Give the shop display a visible and central place in the shop, preferably near the checkout.","Give the shop display a visible and central place in the shop, preferably near the checkout.","","approved","","",""
"training.variant_transparent_simple","Transparent","Transparent","Transparent","","approved","","",""
"training.variant_red_simple","Röd","Red","Red","","approved","","",""
"training.variant_fluorescent_simple","Fluorescerande","Fluorescent","Fluorescent","","approved","","",""
"training.variant_glitter_simple","Glitter","Glitter","Glitter","","approved","","",""
"training.completion_subtitle","Du är nu certifierad B8Shield-specialist","You are now a certified B8Shield specialist","You are now a certified B8Shield specialist","","approved","","",""
"training.certified_seller","Certifierad B8Shield specialist","Certified B8Shield specialist","Certified B8Shield specialist","","approved","","",""
"training.welcome","Välkommen","Welcome","Welcome","","approved","","",""
"training.welcome_subtitle","Till B8Shield återförsäljarportal","To B8Shield Reseller Portal","To B8Shield Dealer Portal","","approved","","",""
"training.welcome_text","Välkommen till vår återförsäljarportal – ett verktyg för att göra ert samarbete med oss så smidigt som möjligt.","Welcome to our reseller portal – a tool to make your collaboration with us as smooth as possible.","Welcome to our dealer portal – a tool to make your collaboration with us as smooth as possible.","","approved","","",""
"orders.title","B2B Beställning - Individuell SKU-val","B2B Order - Individual SKU Selection","B2B Order - Individual SKU Selection","","approved","","",""
"orders.select_products","Välj produkter och kvantiteter","Select products and quantities","Select products and quantities","","approved","","",""
"orders.select_description","Välj exakt hur många förpackningar du vill ha av varje färg och storlek. Bilder visar Storlek 4 som standardrepresentation.","Select exactly how many packages you want of each color and size. Images show Size 4 as standard representation.","Select exactly how many packages you want of each color and size. Images show Size 4 as standard representation.","","approved","","",""
"orders.how_it_works","Så här fungerar beställningen","How the order works","How the order works","","approved","","",""
"orders.minimum_volume","Minsta beställningsvolym","Minimum order volume","Minimum order volume","","approved","","",""
"orders.minimum_packages","10 förpackningar totalt","10 packages total","10 packages total","","approved","","",""
"orders.mix_match","Mix & match","Mix & match","Mix & match","","approved","","",""
"orders.combine_colors","Kombinera färger och storlekar precis som du vill","Combine colours and sizes exactly as you want","Combine colors and sizes exactly as you want","","approved","","",""
"orders.example","Exempel","Example","Example","","approved","","",""
"orders.example_text","5 st Röd Storlek 4 + 3 st Transparent Storlek 2 + 2 st Glitter Storlek 6 = 10 förpackningar ✓","5 pcs Red Size 4 + 3 pcs Transparent Size 2 + 2 pcs Glitter Size 6 = 10 packages ✓","5 pcs Red Size 4 + 3 pcs Transparent Size 2 + 2 pcs Glitter Size 6 = 10 packages ✓","","approved","","",""
"orders.no_image","Ingen bild","No image","No image","","approved","","",""
"orders.total","Totalt","Total","Total","","approved","","",""
"orders.size","Storlek","Size","Size","","approved","","",""
"orders.other_quantity","Annat antal","Other quantity","Other quantity","","approved","","",""
"orders.clear","Rensa","Clear","Clear","","approved","","",""
"orders.pricing_info","Information om prissättning","Pricing information","Pricing information","","approved","","",""
"orders.pricing_description","Alla priser är exklusive moms och beräknas med din personliga marginal på {{margin}}%.","All prices are exclusive of VAT and calculated with your personal margin of {{margin}}%.","All prices are exclusive of tax and calculated with your personal margin of {{margin}}%.","","approved","","",""
"orders.intro_pricing","Just nu introduktionspris, endast under en kortare period, under fiskesäsong 2025","Currently introductory pricing, only for a short period, during fishing season 2025","Currently introductory pricing, only for a short period, during fishing season 2025","","approved","","",""
"orders.order_summary","Orderöversikt","Order summary","Order summary","","approved","","",""
"orders.your_choices","Dina val","Your choices","Your choices","","approved","","",""
"orders.total_packages","Totalt antal förpackningar","Total number of packages","Total number of packages","","approved","","",""
"orders.number_of_colors","Antal färger","Number of colours","Number of colors","","approved","","",""
"orders.purchase_price_with_margin","Inköpspris med {{margin}}% marginal","Purchase price with {{margin}}% margin","Purchase price with {{margin}}% margin","","approved","","",""
"orders.price_per_package","Pris per förpackning (exkl. moms)","Price per package (excl. VAT)","Price per package (excl. tax)","","approved","","",""
"orders.total_purchase_price","Totalt inköpspris (exkl. moms)","Total purchase price (excl. VAT)","Total purchase price (excl. tax)","","approved","","",""
"orders.minimum_order","Minsta beställning","Minimum order","Minimum order","","approved","","",""
"orders.packages","förpackningar","packages","packages","","approved","","",""
"orders.need_more_packages","Du behöver beställa {{remaining}} förpackningar till","You need to order {{remaining}} more packages","You need to order {{remaining}} more packages","","approved","","",""
"orders.processing","Bearbetar...","Processing...","Processing...","","approved","","",""
"orders.minimum_required","Minst {{minimum}} förpackningar krävs","At least {{minimum}} packages required","At least {{minimum}} packages required","","approved","","",""
"orders.confirm_order","Bekräfta beställning","Confirm order","Confirm order","","approved","","",""
"orders.select_products_to_see_summary","Välj produkter och kvantiteter för att se din orderöversikt","Select products and quantities to see your order summary","Select products and quantities to see your order summary","","approved","","",""
"orders.use_buttons_instruction","Använd knapparna ovan för att välja antal av varje färg och storlek","Use the buttons above to select quantity of each colour and size","Use the buttons above to select quantity of each color and size","","approved","","",""
"orders.errors.fetch_products","Ett fel uppstod när produkterna skulle hämtas","An error occurred while fetching products","An error occurred while fetching products","","approved","","",""
"orders.errors.minimum_quantity","Du har beställt för få förpackningar ({{current}}), beställ minst {{remaining}} st till för att nå minst {{minimum}} förpackningar","You have ordered too few packages ({{current}}), order at least {{remaining}} more to reach minimum {{minimum}} packages","You have ordered too few packages ({{current}}), order at least {{remaining}} more to reach minimum {{minimum}} packages","","approved","","",""
"orders.success.created","Order skapad!","Order created!","Order created!","","approved","","",""
"orders.errors.create_failed","Ett fel uppstod när ordern skulle skapas. Försök igen.","An error occurred while creating the order. Please try again.","An error occurred while creating the order. Please try again.","","approved","","",""
"order_history.title","Orderhistorik","Order History","Order History","","approved","","",""
"order_history.new_order","Lägg ny beställning","Place new order","Place new order","","approved","","",""
"order_history.loading","Hämtar dina beställningar...","Fetching your orders...","Fetching your orders...","","approved","","",""
"order_history.errors.fetch_failed","Kunde inte hämta dina beställningar. Försök igen senare.","Could not fetch your orders. Please try again later.","Could not fetch your orders. Please try again later.","","approved","","",""
"order_history.unknown_date","Okänt datum","Unknown date","Unknown date","","approved","","",""
"order_history.invalid_date","Felaktigt datum","Invalid date","Invalid date","","approved","","",""
"order_history.status.pending","Väntar på bekräftelse","Awaiting confirmation","Awaiting confirmation","","approved","","",""
"order_history.status.confirmed","Bekräftad","Confirmed","Confirmed","","approved","","",""
"order_history.status.processing","Under behandling","Processing","Processing","","approved","","",""
"order_history.status.shipped","Skickad","Shipped","Shipped","","approved","","",""
"order_history.status.delivered","Levererad","Delivered","Delivered","","approved","","",""
"order_history.status.cancelled","Avbruten","Cancelled","Canceled","","approved","","",""
"order_history.status.unknown","Okänd status","Unknown status","Unknown status","","approved","","",""
"order_history.error_occurred","Ett fel uppstod","An error occurred","An error occurred","","approved","","",""
"order_history.try_again","Försök igen","Try again","Try again","","approved","","",""
"order_history.package_count","Antal förpackningar","Number of packages","Number of packages","","approved","","",""
"order_history.total_amount","Totalsumma","Total amount","Total amount","","approved","","",""
"order_history.view_details","Visa orderdetaljer","View order details","View order details","","approved","","",""
"order_history.table.order_date","Order & Datum","Order & Date","Order & Date","","approved","","",""
"order_history.table.quantity_amount","Antal & Summa","Quantity & Amount","Quantity & Amount","","approved","","",""
"order_history.table.status","Status","Status","Status","","approved","","",""
"order_history.table.actions","Åtgärder","Actions","Actions","","approved","","",""
"order_history.packages_abbr","förp.","pkgs","pkgs","","approved","","",""
"order_history.no_orders_found","Inga beställningar hittades","No orders found","No orders found","","approved","","",""
"order_history.no_orders_message","Du har inte lagt några beställningar ännu.","You haven't placed any orders yet.","You haven't placed any orders yet.","","approved","","",""
"order_history.place_first_order","Lägg din första beställning","Place your first order","Place your first order","","approved","","",""
"order_detail.order_not_found","Beställningen hittades inte","Order not found","Order not found","","approved","","",""
"order_detail.fetch_error","Kunde inte hämta beställningsdetaljer","Could not fetch order details","Could not fetch order details","","approved","","",""
"order_detail.unknown_date","Okänt datum","Unknown date","Unknown date","","approved","","",""
"order_detail.invalid_date","Felaktigt datum","Invalid date","Invalid date","","approved","","",""
"order_detail.status.pending","Väntar på bekräftelse","Awaiting confirmation","Awaiting confirmation","","approved","","",""
"order_detail.status.confirmed","Bekräftad","Confirmed","Confirmed","","approved","","",""
"order_detail.status.processing","Under behandling","Processing","Processing","","approved","","",""
"order_detail.status.shipped","Skickad","Shipped","Shipped","","approved","","",""
"order_detail.status.delivered","Levererad","Delivered","Delivered","","approved","","",""
"order_detail.status.cancelled","Avbruten","Cancelled","Canceled","","approved","","",""
"order_detail.status.unknown","Okänd status","Unknown status","Unknown status","","approved","","",""
"order_detail.cancel_confirm","Är du säker på att du vill avbryta denna beställning?","Are you sure you want to cancel this order?","Are you sure you want to cancel this order?","","approved","","",""
"order_detail.cancel_success","Beställningen har avbrutits","Order has been cancelled","Order has been canceled","","approved","","",""
"order_detail.cancel_error","Kunde inte avbryta beställningen","Could not cancel order","Could not cancel order","","approved","","",""
"order_detail.status_updated","Orderstatus uppdaterad till {{status}}","Order status updated to {{status}}","Order status updated to {{status}}","","approved","","",""
"order_detail.status_update_error","Kunde inte uppdatera orderstatus: {{error}}","Could not update order status: {{error}}","Could not update order status: {{error}}","","approved","","",""
"order_detail.loading","Hämtar beställningsdetaljer...","Fetching order details...","Fetching order details...","","approved","","",""
"order_detail.error_occurred","Ett fel uppstod","An error occurred","An error occurred","","approved","","",""
"order_detail.try_again","Försök igen","Try again","Try again","","approved","","",""
"order_detail.back_to_orders","Tillbaka till orderlistan","Back to order list","Back to order list","","approved","","",""
"order_detail.title","Orderdetaljer","Order Details","Order Details","","approved","","",""
"order_detail.order_number","Ordernummer","Order Number","Order Number","","approved","","",""
"order_detail.cancelling","Avbryter...","Cancelling...","Canceling...","","approved","","",""
"order_detail.cancel_order","Avbryt beställning","Cancel Order","Cancel Order","","approved","","",""
"order_detail.order_information","Orderinformation","Order Information","Order Information","","approved","","",""
"order_detail.date","Datum","Date","Date","","approved","","",""
"order_detail.status","Status","Status","Status","","approved","","",""
"order_detail.payment_method","Betalningssätt","Payment Method","Payment Method","","approved","","",""
"order_detail.invoice","Faktura","Invoice","Invoice","","approved","","",""
"order_detail.delivery_method","Leveranssätt","Delivery Method","Delivery Method","","approved","","",""
"order_detail.delivery_address","Leveransadress","Delivery Address","Delivery Address","","approved","","",""
"order_detail.company","Företag","Company","Company","","approved","","",""
"order_detail.contact_person","Kontaktperson","Contact Person","Contact Person","","approved","","",""
"order_detail.address","Adress","Address","Address","","approved","","",""
"order_detail.not_specified","Ej angett","Not specified","Not specified","","approved","","",""
"order_detail.postal_code_city","Postnummer & Ort","Postal Code & City","Postal Code & City","","approved","","",""
"order_detail.order_details","Orderdetaljer","Order Details","Order Details","","approved","","",""
"order_detail.color","Färg","Colour","Color","","approved","","",""
"order_detail.size","Storlek","Size","Size","","approved","","",""
"order_detail.quantity","Antal","Quantity","Quantity","","approved","","",""
"order_detail.pieces","st","pcs","pcs","","approved","","",""
"order_detail.price_summary","Prissummering","Price Summary","Price Summary","","approved","","",""
"order_detail.subtotal","Delsumma","Subtotal","Subtotal","","approved","","",""
"order_detail.vat","Moms","VAT","Tax","","approved","","",""
"order_detail.total","Totalt","Total","Total","","approved","","",""
"order_detail.table.product_details","Produkt & Detaljer","Product & Details","Product & Details","","approved","","",""
"order_detail.table.quantity","Antal","Quantity","Quantity","","approved","","",""
"order_detail.table.price","Pris","Price","Price","","approved","","",""
"order_detail.notes","Anteckningar","Notes","Notes","","approved","","",""
"order_detail.status_history","Statushistorik","Status History","Status History","","approved","","",""
"order_detail.status_changed_from","Status ändrad från","Status changed from","Status changed from","","approved","","",""
"order_detail.to","till","to","to","","approved","","",""
"order_detail.by","Av","By","By","","approved","","",""
"order_detail.products","Produkter","Products","Products","","approved","","",""
"order_detail.viewing_product","Visning av {{product}}","Viewing {{product}}","Viewing {{product}}","","approved","","",""
"order_detail.product_information","Produktinformation","Product Information","Product Information","","approved","","",""
"order_detail.product","Produkt","Product","Product","","approved","","",""
"order_detail.edit_order","Redigera beställning","Edit Order","Edit Order","","approved","","",""
"products.browse_description","Bläddra bland våra produkter och ladda ner bilder","Browse and download our products and images","Browse and download our products and images","","approved","","",""
"products.manage_products","Hantera Produkter","Manage Products","Manage Products","","approved","","",""
"products.back_to_list","Tillbaka till produktlista","Back to product list","Back to product list","","approved","","",""
"products.status.active","Aktiv","Active","Active","","approved","","",""
"products.status.inactive","Inaktiv","Inactive","Inactive","","approved","","",""
"products.price","Pris","Price","Price","","approved","","",""
"products.excl_vat","Exkl. moms","Excl. VAT","Excl. VAT","","approved","","",""
"products.weight","Vikt","Weight","Weight","","approved","","",""
"products.dimensions","Mått","Dimensions","Dimensions","","approved","","",""
"products.dimensions_label","L × B × H","L × W × H","L × W × H","","approved","","",""
"products.ean_code","EAN-kod","EAN Code","EAN Code","","approved","","",""
"products.product_image","Produktbild","Product Image","Product Image","","approved","","",""
"products.download_image","Ladda ner produktbild","Download product image","Download product image","","approved","","",""
"products.ean_images","EAN-kod bilder","EAN Code Images","EAN Code Images","","approved","","",""
"products.png_format","PNG/JPG Format","PNG/JPG Format","PNG/JPG Format","","approved","","",""
"products.download_png","Ladda ner PNG","Download PNG","Download PNG","","approved","","",""
"products.svg_format","SVG Format","SVG Format","SVG Format","","approved","","",""
"products.download_svg","Ladda ner SVG","Download SVG","Download SVG","","approved","","",""
"products.available_products","Tillgängliga Produkter","Available Products","Available Products","","approved","","",""
"products.no_image","Ingen bild","No image","No image","","approved","","",""
"products.view_details_download","Visa detaljer och ladda ner","View details and download","View details and download","","approved","","",""
"products.table.product","Produkt","Product","Product","","approved","","",""
"products.table.size_price","Storlek & Pris","Size & Price","Size & Price","","approved","","",""
"products.table.ean_code","EAN-kod","EAN Code","EAN Code","","approved","","",""
"products.table.actions","Åtgärder","Actions","Actions","","approved","","",""
"products.view_details","Visa detaljer","View details","View details","","approved","","",""
"products.downloaded","nedladdad","downloaded","downloaded","","approved","","",""
"products.download_error","Kunde inte ladda ner bilden","Could not download the image","Could not download the image","","approved","","",""
"login.title","Logga in på ditt konto","Sign in to your account","Sign in to your account","","approved","","",""
"login.subtitle.or","Eller","Or","Or","","approved","","",""
"login.subtitle.create_account","skapa ett nytt konto","create a new account","create a new account","","approved","","",""
"login.errors.fill_all_fields","Vänligen fyll i alla fält","Please fill in all fields","Please fill in all fields","","approved","","",""
"login.errors.invalid_credentials","Inloggningen misslyckades. Kontrollera dina uppgifter.","Failed to log in. Please check your credentials.","Failed to log in. Please check your credentials.","","approved","","",""
"login.fields.email","E-postadress","Email address","Email address","","approved","","",""
"login.fields.password","Lösenord","Password","Password","","approved","","",""
"login.placeholders.email","E-postadress","Email address","Email address","","approved","","",""
"login.placeholders.password","Lösenord","Password","Password","","approved","","",""
"login.remember_me","Kom ihåg mig","Remember me","Remember me","","approved","","",""
"login.forgot_password","Glömt ditt lösenord?","Forgot your password?","Forgot your password?","","approved","","",""
"login.button.signing_in","Loggar in...","Signing in...","Signing in...","","approved","","",""
"login.button.sign_in","Logga in","Sign in","Sign in","","approved","","",""
"forgot_password.title","Återställ lösenord","Reset Password","Reset Password","","approved","","",""
"forgot_password.subtitle","Ange din e-postadress så skickar vi dig en länk för att återställa ditt lösenord","Enter your email address and we'll send you a link to reset your password","Enter your email address and we'll send you a link to reset your password","","approved","","",""
"forgot_password.errors.enter_email","Vänligen ange din e-postadress","Please enter your email address","Please enter your email address","","approved","","",""
"forgot_password.success.check_email","Kontrollera din e-post för instruktioner om hur du återställer ditt lösenord","Check your email for instructions to reset your password","Check your email for instructions to reset your password","","approved","","",""
"forgot_password.errors.reset_failed","Misslyckades med att återställa lösenord. Kontrollera om din e-post är korrekt.","Failed to reset password. Please check if your email is correct.","Failed to reset password. Please check if your email is correct.","","approved","","",""
"forgot_password.fields.email","E-postadress","Email address","Email address","","approved","","",""
"forgot_password.placeholders.email","E-postadress","Email address","Email address","","approved","","",""
"forgot_password.button.processing","Bearbetar...","Processing...","Processing...","","approved","","",""
"forgot_password.button.reset","Återställ lösenord","Reset Password","Reset Password","","approved","","",""
"forgot_password.back_to_login","Tillbaka till inloggning","Back to login","Back to login","","approved","","",""
"forgot_password.create_account","Skapa ett konto","Create an account","Create an account","","approved","","",""
"register.title","Registrera nytt konto","Register new account","Register new account","","approved","","",""
"register.subtitle.or","Eller","Or","Or","","approved","","",""
"register.subtitle.login","logga in på ditt befintliga konto","log in to your existing account","log in to your existing account","","approved","","",""
"register.sections.company_info","Företagsinformation","Company Information","Company Information","","approved","","",""
"register.sections.contact_info","Kontaktinformation","Contact Information","Contact Information","","approved","","",""
"register.sections.company_address","Företagsadress","Company Address","Company Address","","approved","","",""
"register.sections.delivery_address","Leveransadress","Delivery Address","Delivery Address","","approved","","",""
"register.sections.account_security","Kontosäkerhet","Account Security","Account Security","","approved","","",""
"register.fields.company_name","Företagsnamn","Company Name","Company Name","","approved","","",""
"register.fields.org_number","Organisationsnummer","Organisation Number","Organization Number","","approved","","",""
"register.fields.vat_number","Momsregistreringsnummer","VAT Registration Number","VAT Registration Number","","approved","","",""
"register.fields.contact_person","Kontaktperson","Contact Person","Contact Person","","approved","","",""
"register.fields.phone","Telefonnummer","Phone Number","Phone Number","","approved","","",""
"register.fields.email","E-postadress","Email Address","Email Address","","approved","","",""
"register.fields.street_address","Gatuadress","Street Address","Street Address","","approved","","",""
"register.fields.postal_code","Postnummer","Postal Code","Postal Code","","approved","","",""
"register.fields.city","Stad","City","City","","approved","","",""
"register.fields.country","Land","Country","Country","","approved","","",""
"register.fields.same_as_company","Samma som företagsadress","Same as company address","Same as company address","","approved","","",""
"register.fields.delivery_address","Leveransadress","Delivery Address","Delivery Address","","approved","","",""
"register.fields.password","Lösenord","Password","Password","","approved","","",""
"register.fields.confirm_password","Bekräfta lösenord","Confirm Password","Confirm Password","","approved","","",""
"register.errors.company_name_required","Företagsnamn krävs","Company name is required","Company name is required","","approved","","",""
"register.errors.org_number_required","Organisationsnummer krävs","Organisation number is required","Organization number is required","","approved","","",""
"register.errors.vat_number_required","Momsregistreringsnummer krävs","VAT registration number is required","VAT registration number is required","","approved","","",""
"register.errors.contact_person_required","Kontaktperson krävs","Contact person is required","Contact person is required","","approved","","",""
"register.errors.phone_required","Telefonnummer krävs","Phone number is required","Phone number is required","","approved","","",""
"register.errors.email_required","E-postadress krävs","Email address is required","Email address is required","","approved","","",""
"register.errors.invalid_email","Ogiltig e-postadress","Invalid email address","Invalid email address","","approved","","",""
"register.errors.address_required","Adress krävs","Address is required","Address is required","","approved","","",""
"register.errors.postal_code_required","Postnummer krävs","Postal code is required","Postal code is required","","approved","","",""
"register.errors.city_required","Stad krävs","City is required","City is required","","approved","","",""
"register.errors.delivery_address_required","Leveransadress krävs","Delivery address is required","Delivery address is required","","approved","","",""
"register.errors.password_required","Lösenord krävs","Password is required","Password is required","","approved","","",""
"register.errors.password_too_short","Lösenordet måste vara minst 6 tecken","Password must be at least 6 characters","Password must be at least 6 characters","","approved","","",""
"register.errors.confirm_password_required","Bekräfta lösenord krävs","Confirm password is required","Confirm password is required","","approved","","",""
"register.errors.passwords_no_match","Lösenorden matchar inte","Passwords do not match","Passwords do not match","","approved","","",""
"register.errors.email_exists","E-postadressen används redan av ett annat konto.","Email address is already in use by another account.","Email address is already in use by another account.","","approved","","",""
"register.errors.weak_password","Lösenordet är för svagt. Välj ett starkare lösenord.","Password is too weak. Choose a stronger password.","Password is too weak. Choose a stronger password.","","approved","","",""
"register.errors.registration_failed","Ett fel uppstod vid registreringen. Försök igen.","An error occurred during registration. Please try again.","An error occurred during registration. Please try again.","","approved","","",""
"register.success.registration_complete","Registrering slutförd. En administratör kommer att aktivera ditt konto.","Registration complete. An administrator will activate your account.","Registration complete. An administrator will activate your account.","","approved","","",""
"register.default_country","Sverige","Sweden","Sweden","","approved","","",""
"register.notice.note","Obs:","Note:","Note:","","approved","","",""
"register.notice.approval_required","När du registrerar dig måste ditt konto godkännas av en administratör innan du kan logga in. Vi kontaktar dig via e-post när ditt konto är aktiverat.","When you register, your account must be approved by an administrator before you can log in. We will contact you via email when your account is activated.","When you register, your account must be approved by an administrator before you can log in. We will contact you via email when your account is activated.","","approved","","",""
"register.button.creating","Skapar konto...","Creating account...","Creating account...","","approved","","",""
"register.button.create","Skapa konto","Create account","Create account","","approved","","",""
"orders.size_coming_soon","kommer inom kort","coming soon","coming soon","","approved","","",""
"training.popup.available_in","Tillgänglig i:","Available in:","Available in:","","approved","","",""
"training.popup.description","Beskrivning","Description","Description","","approved","","",""
"training.popup.features","Egenskaper","Features","Features","","approved","","",""
"training.popup.sales_arguments","Säljargument","Sales Arguments","Sales Arguments","","approved","","",""
"training.popup.load_error","Kunde inte ladda produktinformation","Could not load product information","Could not load product information","","approved","","",""
"training.popup.close","Stäng","Close","Close","","approved","","",""
"training.popup.sales_tip_transparent","vill ha skydd utan att ändra dragets utseende.","want protection without changing the lure's appearance.","want protection without changing the lure's appearance.","","approved","","",""
"training.popup.sales_tip_red","fiskar efter rovfisk och vill attrahera mer fisk.","fish for predatory fish and want to attract more fish.","fish for predatory fish and want to attract more fish.","","approved","","",""
"training.popup.sales_tip_fluorescent","fiskar på kvällar eller i grumliga vatten.","fish in the evenings or in murky waters.","fish in the evenings or in murky waters.","","approved","","",""
"training.popup.sales_tip_glitter","fiskar i stark solljus och vill ha extra attraktion.","fish in strong sunlight and want extra attraction.","fish in strong sunlight and want extra attraction.","","approved","","",""
"training.popup.sales_tip_default","vill skydda sina fiskedrag från vegetation.","want to protect their fishing lures from vegetation.","want to protect their fishing lures from vegetation.","","approved","","",""
